Species,BxY_Slope,BxY_StErr,BxY_t.value,BxY_p.value,BxY_Intercept,BxY_F Stat,BxY_numDF,BxY_denDF,BxY_adj.r.squ,BxP_Slope,BxP_StErr,BxP_t.value,BxP_p.value,BxP_Intercept,BxP_F Stat,BxP_numDF,BxP_denDF,BxP_adj.r.squ,BxH_Slope,BxH_StErr,BxH_t.value,BxH_p.value,BxH_Intercept,BxH_F Stat,BxH_numDF,BxH_denDF,BxH_adj.r.squ,BxL_Slope,BxL_StErr,BxL_t.value,BxL_p.value,BxL_Intercept,BxL_F Stat,BxL_numDF,BxL_denDF,BxL_adj.r.squ
Ribes montigenum McClatchie,-0.293249904,0.125456719,-2.337458744,0.027077493,767.0653439,5.463713381,1,27,0.137498546,5.64963E-05,0.000274199,0.206041445,0.838304295,179.2171575,0.042453077,1,27,-0.035409026,-7.3028906,2.601995895,-2.806649547,0.009177778,242.287712,7.87728168,1,27,0.19718514,-4.601334574,2.462924473,-1.868240226,0.072616746,155.7653681,3.490321541,1,27,0.081675804
Rorippa curvipes Greene var alpina (S. Watson) Stuckey,-0.783883915,0.427743769,-1.832601598,0.088212978,1774.415252,3.358428616,1,14,0.135866481,-3.84113E-05,0.000821833,-0.046738513,0.96338181,219.3368979,0.002184489,1,14,-0.071261417,-13.72061837,8.687625563,-1.579328928,0.136582981,328.0644643,2.494279863,1,14,0.090593823,-20.12567897,7.989550336,-2.51900021,0.024548127,93.35757277,6.345362057,1,14,0.262731233
Rydbergia brandegei (T. C. Porter) Rydberg,-0.446679645,0.587975715,-0.759690637,0.469232058,1089.241185,0.577129864,1,8,-0.049302056,0.000238205,0.000911652,0.261289015,0.800470467,179.9283466,0.068271949,1,8,-0.115480496,1.120285837,12.3861066,0.090446972,0.930155605,190.8088225,0.008180655,1,8,-0.123850771,-8.106225272,6.797931623,-1.192454664,0.267249929,149.5089087,1.421948126,1,8,0.044783533
Rydbergia grandiflora (Torrey & Gray) Greene,-0.234206065,0.212548402,-1.101895205,0.279269296,661.3501192,1.214173044,1,30,0.006861404,9.76112E-06,0.000336516,0.02900642,0.977051579,196.2169599,0.000841372,1,30,-0.033304354,-0.316007908,4.611819759,-0.068521305,0.945825341,199.5480113,0.004695169,1,30,-0.033171636,-4.811454217,4.335898604,-1.109678675,0.275953646,166.5555234,1.231386762,1,30,0.007408789
Sagina saginoides (L.) Karsten,0.207833844,0.317522628,0.654548136,0.5233672,-205.985782,0.428433262,1,14,-0.039613916,0.0001776,0.000514837,0.344962621,0.735250164,191.100341,0.11899921,1,14,-0.062398246,-0.80268606,6.152425813,-0.130466597,0.898053408,211.6671832,0.017021533,1,14,-0.070127485,3.85529064,6.292821591,0.612648966,0.54993121,230.0709915,0.375338755,1,14,-0.043453671
Salix arctica Pallas ssp petraea (Andersson) Löve et al.,0.03523341,0.149031205,0.236416325,0.814570964,122.4812828,0.055892679,1,33,-0.028560939,-5.76739E-05,0.000236904,-0.243448031,0.809165387,196.960416,0.059266944,1,33,-0.028455956,-2.362457018,3.280651881,-0.720118166,0.476522215,211.3817919,0.518570174,1,33,-0.014363078,-4.534500854,3.016099965,-1.503431884,0.142238508,163.4436977,2.260307431,1,33,0.035742951
Salix brachycarpa Nuttall,-0.458812271,0.1958242,-2.342980446,0.025953716,1102.263699,5.489557372,1,30,0.126503617,0.000149968,0.000387568,0.386946426,0.701527217,180.3027232,0.149727536,1,30,-0.028201663,-5.608743703,4.217407378,-1.329903232,0.193573522,237.7769251,1.768642607,1,30,0.024195009,-8.484169171,4.051168533,-2.094252338,0.044788156,139.43283,4.385892854,1,30,0.098467499
Salix planifolia Pursh,-0.140257002,0.201190271,-0.697136106,0.492704646,464.8877506,0.48599875,1,23,-0.021885433,8.64319E-05,0.000376823,0.229369745,0.820608998,179.076856,0.05261048,1,23,-0.041096843,-7.605232892,3.925344626,-1.937468838,0.065062988,247.9770167,3.753785499,1,23,0.102930686,-5.416450834,3.668161515,-1.47661187,0.153341483,152.9043204,2.180382615,1,23,0.046877072
Salix reticulata L. ssp nivalis (Hooker) Löve et al.,-0.023980081,0.157598775,-0.152159056,0.880152608,242.3034193,0.023152378,1,28,-0.034858592,1.22691E-05,0.000283023,0.043350266,0.965729996,193.7482019,0.001879246,1,28,-0.035644777,0.859803139,3.562655723,0.2413377,0.811052024,187.6531411,0.058243886,1,28,-0.033564328,-3.559071643,3.463175163,-1.027690335,0.312892106,172.9684239,1.056147424,1,28,0.001932377
Saussurea weberi Hultén,0.016834365,0.156391289,0.107642602,0.915922769,177.9292441,0.01158693,1,13,-0.075964068,0.000300585,0.000351453,0.855263959,0.40789174,186.8515691,0.73147644,1,13,-0.019555331,-1.493432496,3.87352643,-0.385548549,0.706066059,223.294652,0.148647684,1,13,-0.06474828,-1.585885481,3.133210167,-0.50615356,0.621223041,202.1131141,0.256191426,1,13,-0.056110277
Saxifraga cernua L.,-0.004957265,0.155283847,-0.031923893,0.974834219,213.1059978,0.001019135,1,21,-0.047568209,-0.000119023,0.000257387,-0.462427174,0.648530524,213.0928361,0.213838891,1,21,-0.03705888,1.754382586,2.963299998,0.592036779,0.560146733,189.2700498,0.350507548,1,21,-0.030420469,-0.792850011,2.924638649,-0.271093323,0.788966141,198.3465784,0.07349159,1,21,-0.043965586
Saxifraga hyperborea R. Brown ssp debilis (Engelmann ex A. Gray) Löve et al.,0.115901456,0.290524851,0.398938181,0.695212693,-27.12653975,0.159151672,1,16,-0.052035425,0.000282388,0.000385128,0.733231502,0.474024241,179.529902,0.537628436,1,16,-0.027958759,-5.193704483,5.775739328,-0.899227647,0.381865598,243.3715689,0.80861036,1,16,-0.011386405,-4.786141913,8.021817842,-0.596640563,0.559095666,171.5283439,0.355979961,1,16,-0.039375203
Saxifraga rivularis L.,-0.320240131,0.17686407,-1.810656795,0.085243974,838.856147,3.278478029,1,20,0.097879167,-0.000353201,0.000339344,-1.04083612,0.31037121,231.4238707,1.083339829,1,20,0.003952876,-2.725995541,4.287591652,-0.635787118,0.532123676,226.3927504,0.40422526,1,20,-0.029198596,-8.758005846,4.3688947,-2.004627359,0.058730126,148.441383,4.01853085,1,20,0.125675083
Senecio atratus Greene,-0.687849785,0.277102989,-2.482289304,0.020443372,1576.686349,6.161760188,1,24,0.171135907,0.000476178,0.00045714,1.041644651,0.307956453,167.8406356,1.085023578,1,24,0.003389416,-5.97345759,4.263687474,-1.401007374,0.174010241,255.9404008,1.962821661,1,24,0.037084631,-7.812853513,4.38024342,-1.783657383,0.087131141,160.2652645,3.181433659,1,24,0.080254547
Senecio crassulus A. Gray,-0.6312274,0.165211372,-3.820726096,0.000649471,1463.756291,14.5979479,1,29,0.311894219,3.17188E-05,0.000336029,0.094393115,0.925446077,206.6248961,0.00891006,1,29,-0.034165018,-10.78791482,3.536744294,-3.050238841,0.004849365,297.089756,9.303956984,1,29,0.2167911,-13.1552055,3.284427006,-4.005327405,0.000394317,128.2610201,16.04264762,1,29,0.333964552
Senecio fremontii Torrey & Gray ssp blitoides (Greene) W. A. Weber,-0.436000201,0.158764884,-2.746200487,0.009456887,1077.034776,7.541617114,1,35,0.153769827,-8.64088E-05,0.000263687,-0.327694139,0.745095114,218.8933836,0.107383449,1,35,-0.025425323,-5.32541365,3.135280117,-1.698544772,0.098279364,255.3522259,2.885054341,1,35,0.049757203,-5.153545139,3.607875168,-1.428415591,0.162036021,179.3867122,2.040371099,1,35,0.028087491
Senecio triangularis Hooker,-0.266985048,0.216740357,-1.231819729,0.232303716,740.0054676,1.517379845,1,20,0.024044742,0.000716035,0.000402542,1.778784978,0.090480191,152.8143637,3.164075997,1,20,0.0934238,-10.78587238,3.588000071,-3.00609592,0.006979446,297.9954218,9.036612682,1,20,0.276775145,-7.120628833,4.15060819,-1.715562758,0.101694454,165.5848571,2.943155577,1,20,0.084694347
Sibbaldia procumbens L.,-0.409162579,0.187082847,-2.187066238,0.036160319,1004.773213,4.783258728,1,32,0.102852734,-0.000258262,0.000329963,-0.782699513,0.439557708,213.8432596,0.612618528,1,32,-0.01187827,-7.159722866,4.179723189,-1.712965797,0.096393515,250.2567944,2.934251823,1,32,0.055368348,-7.804773587,3.839919583,-2.032535687,0.05046764,143.3368193,4.131201319,1,32,0.086661976
Silene acaulis (L.) L. ssp subacaulescens (F. N. Williams) Hitchcock & Maguire,-0.142871312,0.184172871,-0.775745694,0.44464133,481.8802876,0.601781382,1,27,-0.01442728,-0.000252206,0.000333031,-0.75730415,0.455426358,219.4303547,0.573509576,1,27,-0.015467397,1.160172605,4.030526517,0.287846414,0.775662279,189.5554067,0.082855558,1,27,-0.033864392,-3.28654678,4.295521071,-0.765110152,0.450842351,177.8050197,0.585393545,1,27,-0.015029927
Silene scouleri Hooker ssp hallii (S. Watson) Hitchcock & Maguire,-0.035012594,0.204002419,-0.17162833,0.866589987,287,0.029456284,1,12,-0.080680597,0.000660955,0.000234475,2.818874159,0.015492264,166.6678587,7.946051522,1,12,0.348241932,-4.642101631,4.745875335,-0.978133917,0.347316145,256.1653908,0.95674596,1,12,-0.003338341,0.7604805,6.150844113,0.123638396,0.90364836,222.2361639,0.015286453,1,12,-0.081955062
Smelowskia calycina (Stephan ex Willdenow) C. A. Meyer,-0.17721167,0.136184091,-1.301265584,0.202179856,539.4472719,1.693292119,1,33,0.019983463,-2.0295E-05,0.000220511,-0.092036037,0.927225861,189.8156439,0.008470632,1,33,-0.030038634,-2.749897492,2.81003044,-0.978600606,0.334897421,210.224534,0.957659146,1,33,-0.001246872,-3.714414496,2.955615092,-1.256731469,0.217674022,164.6444098,1.579373984,1,33,0.016754901
Solidago multiradiata Aiton,-0.353064837,0.226833178,-1.55649557,0.138010048,920.598805,2.422678459,1,17,0.073248314,0.000230539,0.000410712,0.561317015,0.581906078,199.7752835,0.315076791,1,17,-0.039556464,-9.884076134,3.737100588,-2.64485151,0.01702174,299.6810032,6.995239511,1,17,0.249851205,-7.799682269,4.42991692,-1.760683645,0.096268746,171.008361,3.100006898,1,17,0.104477919
Solidago simplex Humboldt,-1.337336994,0.349619743,-3.825118632,0.003345445,2869.85175,14.63153255,1,10,0.553417962,0.000633271,0.000341561,1.854046744,0.093423117,148.6706007,3.437489331,1,10,0.181394699,-10.33445284,1.983929781,-5.209081963,0.000396066,288.0761265,27.1345349,1,10,0.703779783,-12.02153593,3.025664795,-3.973188288,0.002629754,129.5223996,15.78622518,1,10,0.573415654
Stellaria irrigua Bunge,-0.215064575,0.242507201,-0.886837889,0.391277594,635.8049309,0.786481442,1,13,-0.015487531,0.000356753,0.00050076,0.712423737,0.488792519,181.4851434,0.507547581,1,13,-0.036457574,-15.54589788,7.110411267,-2.186357061,0.047676388,334.919267,4.780157196,1,13,0.212605387,-5.786807303,4.998333728,-1.157747285,0.267796078,174.1136054,1.340378776,1,13,0.023735689
Stellaria longipes Goldie,-0.450044729,0.243145373,-1.850928618,0.077653115,1095.340924,3.425936747,1,22,0.095411893,0.000594146,0.000480313,1.23699774,0.229130054,153.6223497,1.530163409,1,22,0.022531225,-13.97786693,4.903016249,-2.850871018,0.009294099,316.7174944,8.127465561,1,22,0.236577005,-15.52577488,4.995856548,-3.107730323,0.005131511,107.8831943,9.657987758,1,22,0.273485094
Stellaria umbellata Turczaninov ex Karilin & Kirilow,-0.006360889,0.159382055,-0.039909693,0.968482136,213.2191926,0.001592784,1,25,-0.039933744,0.000293687,0.000289809,1.013382785,0.320585293,177.2504326,1.026944668,1,25,0.001035261,-9.009726229,3.216605065,-2.801004801,0.009686887,274.1486649,7.845627894,1,25,0.208418238,-7.335689922,3.576972222,-2.050809866,0.050906161,155.741641,4.205821105,1,25,0.109766512
